Domestic,TripReason,Vehicle,LogPrice,LogLeadTime,TimeOfDay,From_Rate,To_Rate,Route_Rate,User_Rate
1,1,0,13.527828485512494,0.93627698428552,1,0.14293223542897673,0.16564432511000565,0.15815607402162404,0.13773065167352175
1,0,1,14.009019304148794,2.1061864351682145,2,0.1837101529161518,0.14969931713017282,0.17258428617708776,0.13773065167352175
1,0,0,14.462613800022813,0.2509982144531344,2,0.14293223542897673,0.14971349215343616,0.16494151407921234,0.11477554306126812
1,1,0,13.253391639810733,1.5657248480234016,0,0.1315742705974605,0.1294689391867596,0.10211399160659089,0.13773065167352175
1,1,0,14.462613800022813,0.05796971723178056,2,0.14293223542897673,0.099238327652824,0.10864814998421245,0.13773065167352175
1,1,0,12.043553716032399,0.5864224567582117,1,0.1065704742436525,0.13117204921287784,0.13117204921287784,0.13773065167352175
1,1,0,14.01436141670944,2.850386189558515,2,0.14288943820223704,0.13498818023020073,0.14886946914077645,0.15369388576531703
1,1,2,15.631962639782701,0.734383700263875,2,0.14293223542897673,0.1283361291111942,0.13382893809547408,0.11477554306126812
1,1,1,15.65606019136176,1.1268564498793199,1,0.14293223542897673,0.18675352804670362,0.17490210435809517,0.13773065167352175
1,1,0,14.485900751401603,1.7465535565290626,1,0.17307890547205435,0.13498818023020073,0.16549815730224016,0.28144220972793477
1,0,1,13.954402556830892,1.889720605694738,3,0.17644982105652351,0.14971349215343616,0.19693266291838044,0.13773065167352175
1,1,0,13.815510557964274,0.17560334173706038,2,0.1525049771912365,0.13516894667994767,0.11629723524994849,0.08608165729595109
1,0,1,15.06541229417861,3.47199669097919,1,0.10637229746997037,0.14969931713017282,0.12299898909145075,0.13773065167352175
1,1,2,16.289019162799907,1.8823457740945342,0,0.14293223542897673,0.12202641181791803,0.10341814310880026,0.13773065167352175
1,0,1,14.74668990233218,1.552750490601177,1,0.14293223542897673,0.18675352804670362,0.17490210435809517,0.13773065167352175
1,1,2,16.03970158353031,2.6894101602866947,0,0.14293223542897673,0.13744776843357903,0.13699663507365595,0.11477554306126812
1,0,1,14.388465553195813,3.540878410605564,2,0.14293223542897673,0.12888111760123594,0.15400294260525949,0.11477554306126812
1,1,2,16.453853346641665,3.3250689479788895,0,0.07247301900439658,0.14971349215343616,0.13905974198038648,0.28144220972793477
1,0,1,11.156250521031495,1.0664827133687242,0,0.14293223542897673,0.07390897739013437,0.04889795960855088,0.11477554306126812
1,1,1,14.092384431699452,3.3134585178959557,2,0.15216437773619565,0.14969931713017282,0.18587063581430754,0.28144220972793477
1,1,0,13.815510557964274,0.13098000547532548,1,0.14293223542897673,0.1478587165070694,0.12119394499061616,0.13773065167352175
1,1,0,12.994530005894443,0.5059701047895931,3,0.08529847144132925,0.099238327652824,0.06340933226239441,0.0983790369096584
1,1,0,13.815510557964274,0.7508905149286096,2,0.09072157237011927,0.13516894667994767,0.06952987099019324,0.13773065167352175
1,0,0,14.01436141670944,2.057596329727221,0,0.1285393302924119,0.12405207112968845,0.0983790369096584,0.11477554306126812
1,0,1,11.156250521031495,1.9778055467817932,1,0.06537603949534158,0.14974230015187923,0.03033965249902823,0.11477554306126812
1,0,1,11.156250521031495,0.8089439857065858,2,0.06537603949534158,0.14974230015187923,0.03033965249902823,0.11477554306126812
1,1,0,14.360737608447597,0.4010345514985283,2,0.1315742705974605,0.19412050005711678,0.11612634563655279,0.11477554306126812
1,1,1,15.263605319989612,0.36467293245916593,2,0.1655284390896924,0.14974230015187923,0.1855085818641225,0.13773065167352175
1,0,1,15.220994613477306,3.4597383079483097,1,0.13627394034700333,0.14971349215343616,0.18334563475592117,0.11477554306126812
1,1,1,14.851537971440763,1.9475958191154294,1,0.12785557412175275,0.14974230015187923,0.14353560382766828,0.13773065167352175
1,1,0,14.316285845876763,1.6763297322693844,2,0.1065704742436525,0.11097404161816825,0.08347312222637682,0.11477554306126812
1,1,2,16.392084396278097,1.3471968716242626,2,0.14293223542897673,0.1283361291111942,0.13382893809547408,0.13773065167352175
1,1,0,14.26019637922572,0.25381626007997177,0,0.14237693352929634,0.14974230015187923,0.10301845213388174,0.06260484166978261
1,0,0,14.149479664367368,2.2488303323550225,3,0.10268013719442562,0.14974230015187923,0.1373889159643723,0.13773065167352175
1,0,0,14.316285845876763,0.3663365012067992,2,0.1285393302924119,0.13950922606694086,0.18563267849904627,0.13773065167352175
1,0,0,13.73484265489682,0.45939235613235,3,0.1315742705974605,0.099238327652824,0.09664492028296866,0.13773065167352175
1,0,0,14.01436141670944,1.1234338450677255,1,0.14288943820223704,0.1555500757759909,0.1674963493723626,0.28144220972793477
1,0,1,14.092384431699452,2.512418852362836,2,0.14293223542897673,0.1294689391867596,0.16848778486584876,0.13773065167352175
1,0,0,14.01436141670944,0.4700889337669236,1,0.14293223542897673,0.13516894667994767,0.14943604137873678,0.13773065167352175
1,1,0,14.349075668699754,1.4158508035959754,1,0.13144011443969283,0.1277300685051336,0.16515193230537306,0.11477554306126812
1,1,1,13.591116224748411,1.038558621447602,2,0.15472051302547685,0.12888111760123594,0.11689796775511342,0.13773065167352175
1,1,0,14.852247442914296,1.5785385140551575,2,0.14293223542897673,0.12714378702690465,0.1523146639406403,0.13773065167352175
1,1,0,14.346138809026444,0.5365103118373835,0,0.0865976029932107,0.14974230015187923,0.10276094702625775,0.11477554306126812
1,1,0,13.692212341619781,0.8651458329082079,0,0.1525049771912365,0.08115383927915332,0.08939554841596273,0.11477554306126812
1,1,0,14.508657738524219,1.6003380997183734,2,0.1065704742436525,0.18675352804670362,0.15747410112245402,0.13773065167352175
1,0,1,14.332815147827974,2.4234379797334196,1,0.14293223542897673,0.1294689391867596,0.16848778486584876,0.11477554306126812
1,0,1,11.156250521031495,2.1147361452257156,1,0.06537603949534158,0.14974230015187923,0.03033965249902823,0.05738777153063406
1,1,0,13.77468856344402,0.4492000410858919,1,0.13144011443969283,0.14969931713017282,0.1530785770367773,0.0983790369096584
1,1,1,11.156250521031495,1.1679838276490062,3,0.06537603949534158,0.14974230015187923,0.03033965249902823,0.06260484166978261
1,1,1,13.36138027787483,1.1911058195519177,0,0.14288943820223704,0.15679635167001005,0.15303962228983925,0.30738777153063407
1,1,0,13.42984807715229,0.8253239668833754,3,0.14293223542897673,0.18698940801570552,0.16646113063569304,0.11477554306126812
1,0,1,13.907177746490097,1.7432225921338358,3,0.1655284390896924,0.14974230015187923,0.1855085818641225,0.11477554306126812
1,0,1,14.529929873799759,2.981428444181881,1,0.14293223542897673,0.14971349215343616,0.16494151407921234,0.13773065167352175
1,1,0,14.571632537685607,0.6371573850900688,1,0.1315742705974605,0.10210486505939047,0.11886532583676086,0.11477554306126812
1,1,1,13.962636622854568,1.9700890311799408,2,0.1525049771912365,0.14974230015187923,0.1866624014516789,0.13773065167352175
1,1,0,13.623138665316818,2.0342083080150757,0,0.1352589884159988,0.14974230015187923,0.16550017689119004,0.11477554306126812
1,0,0,14.51364528003526,2.673382751156614,2,0.1315742705974605,0.1342590845628467,0.17775297456501143,0.13773065167352175
1,1,0,13.892471599100402,1.1460031166393931,1,0.14293223542897673,0.14252728380073953,0.16683013574994504,0.13773065167352175
